nom,prix,ancien_prix,remise_pct,url,image_url,site,categorie,date_scraping,en_promotion,gamme_prix,product_id
GLAMBERGET,6995.0,,0.0,https://www.ikea.com/ma/fr/p/glamberget-lit-extensible-rangement-2-matelas-pin-afjaell-mi-ferme-s09568352/,https://www.ikea.com/ma/fr/images/products/glamberget-lit-extensible-rangement-2-matelas-pin-afjaell-mi-ferme__1335916_pe947204_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:53,False,Premium (4000-10k),ikea_0
PAX,10610.0,,0.0,https://www.ikea.com/ma/fr/p/pax-combinaison-armoire-blanc-s39502562/,https://www.ikea.com/ma/fr/images/products/pax-combinaison-armoire-blanc__1197539_pe903561_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:57,False,Luxe (>10k),ikea_1
PAX / MEHAMN,9840.0,,0.0,https://www.ikea.com/ma/fr/p/pax-mehamn-armoire-pte-coul-gris-beige-double-face-gris-beige-s89562247/,https://www.ikea.com/ma/fr/images/products/pax-mehamn-armoire-pte-coul-gris-beige-double-face-gris-beige__1032023_pe836739_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:12,False,Premium (4000-10k),ikea_3
HAUGA,2694.0,,0.0,https://www.ikea.com/ma/fr/p/hauga-mobilier-chambre-lot-de-2-blanc-s29611651/,https://www.ikea.com/ma/fr/images/products/hauga-mobilier-chambre-lot-de-2-blanc__1102078_pe866513_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:53:28,False,Milieu (1500-4000),ikea_6
MALM,6595.0,,0.0,https://www.ikea.com/ma/fr/p/malm-cadre-lit-haut-4rgt-brun-noir-luroey-s59002441/,https://www.ikea.com/ma/fr/images/products/malm-cadre-lit-haut-4rgt-brun-noir-luroey__1154412_pe886059_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:56,False,Premium (4000-10k),ikea_7
PAX / HASVIK,5840.0,,0.0,https://www.ikea.com/ma/fr/p/pax-hasvik-combinaison-armoire-blanc-blanc-s89503168/,https://www.ikea.com/ma/fr/images/products/pax-hasvik-combinaison-armoire-blanc-blanc__1190120_pe900103_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:12,False,Premium (4000-10k),ikea_10
SLATTUM,1495.0,,0.0,https://www.ikea.com/ma/fr/p/slattum-cadre-de-lit-matelasse-vissle-gris-fonce-housse-de-tete-de-lit-incluse-oereryd-gris-beige-s99613487/,https://www.ikea.com/ma/fr/images/products/slattum-cadre-de-lit-matelasse-vissle-gris-fonce-housse-de-tete-de-lit-incluse-oereryd-gris-beige__1490316_pe1004123_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:58,False,Économique (500-1500),ikea_11
GLADSTAD,5195.0,,0.0,https://www.ikea.com/ma/fr/p/gladstad-lit-matelasse-av-2-rangements-kabusa-gris-clair-s29406797/,https://www.ikea.com/ma/fr/images/products/gladstad-lit-matelasse-av-2-rangements-kabusa-gris-clair__1116349_pe872495_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:58,False,Premium (4000-10k),ikea_13
JONAXEL,4800.0,,0.0,https://www.ikea.com/ma/fr/p/jonaxel-combinaison-de-rangement-ouverte-blanc-s19297685/,https://www.ikea.com/ma/fr/images/products/jonaxel-combinaison-de-rangement-ouverte-blanc__0703647_pe732235_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:09,False,Premium (4000-10k),ikea_19
GULLABERG,12792.0,,0.0,https://www.ikea.com/ma/fr/p/gullaberg-mobilier-chambre-lot-de-4-blanc-s89618715/,https://www.ikea.com/ma/fr/images/products/gullaberg-mobilier-chambre-lot-de-4-blanc__1488512_pe1003357_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:53:28,False,Luxe (>10k),ikea_23
PAX / GRIMO,6970.0,,0.0,https://www.ikea.com/ma/fr/p/pax-grimo-armoire-penderie-blanc-blanc-s89502791/,https://www.ikea.com/ma/fr/images/products/pax-grimo-armoire-penderie-blanc-blanc__1190160_pe900115_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:12,False,Premium (4000-10k),ikea_28
GREJIG,1798.0,,0.0,https://www.ikea.com/ma/fr/p/grejig-mobilier-chambre-lot-de-2-gris-s29618006/,https://www.ikea.com/ma/fr/images/products/grejig-mobilier-chambre-lot-de-2-gris__1500541_pe1007009_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:53:28,False,Milieu (1500-4000),ikea_38
IDANÄS,5995.0,,0.0,https://www.ikea.com/ma/fr/p/idanaes-cadre-de-lit-matelasse-gunnared-gris-fonce-90458947/,https://www.ikea.com/ma/fr/images/products/idanaes-cadre-de-lit-matelasse-gunnared-gris-fonce__0953728_pe802888_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:56,False,Premium (4000-10k),ikea_54
