product_id,nom,categorie,site,prix,ancien_prix,remise_pct,date_scraping
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5657.41,,,2026-03-25
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5382.39,,,2026-03-26
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5494.3,,,2026-03-27
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5471.11,,,2026-03-28
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5700.84,,,2026-03-29
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5674.09,,,2026-03-30
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5770.54,,,2026-03-31
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5410.11,,,2026-04-01
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5384.54,,,2026-04-02
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5469.06,,,2026-04-03
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5597.4,,,2026-04-04
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5383.08,,,2026-04-05
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5460.2,,,2026-04-06
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5662.09,,,2026-04-07
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5615.12,,,2026-04-08
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5634.96,,,2026-04-09
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5733.5,,,2026-04-10
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5374.11,,,2026-04-11
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5731.88,,,2026-04-12
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5683.69,,,2026-04-13
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5523.5,,,2026-04-14
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,4753.01,,,2026-04-15
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5412.71,,,2026-04-16
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5414.49,,,2026-04-17
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5750.54,,,2026-04-18
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5641.43,,,2026-04-19
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5732.47,,,2026-04-20
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5697.83,,,2026-04-21
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5611.22,,,2026-04-22
KIT-0000,Canapé-Lit Donna,Salon Et Sejour,kitea,5806.77,,,2026-04-23
